name,in_stock,price,image_url,item_id
Notebook Lenovo V15 G4 IAH 83FS003PTA (Business Black),1,14690.0,https://img.advice.co.th/images_nas/pic_product4/A0153905/A0153905OK_BIG_1.jpg,A0153905
Notebook Lenovo IdeaPad 3 15IAU7 82RK014LTA (Arctic Grey),1,13390.0,https://img.advice.co.th/images_nas/pic_product4/A0157543/A0157543OK_BIG_1.jpg,A0157543
Notebook DELL Inspiron 3530-IN3530V84RM001OGTH (Carbon Black),1,16190.0,https://img.advice.co.th/images_nas/pic_product4/A0150193/A0150193OK_BIG_1.jpg,A0150193
Notebook Acer Swift Go SFG16-72-5242 (Steel Gray),1,39990.0,https://img.advice.co.th/images_nas/pic_product4/A0158884/A0158884OK_BIG_3.jpg,A0158884
Notebook Asus Vivobook Go 15 X1504GA-NJ322W (Mixed Black),1,11990.0,https://img.advice.co.th/images_nas/pic_product4/A0156902/A0156902OK_BIG_1.jpg,A0156902
Notebook Lenovo V15 G4 IAH 83FS003QTA (Business Black),1,14290.0,https://img.advice.co.th/images_nas/pic_product4/A0153904/A0153904OK_BIG_1.jpg,A0153904
Notebook Lenovo IdeaPad Slim 3 15ABR8 82XM00ACTA (Arctic Grey),1,17990.0,https://img.advice.co.th/images_nas/pic_product4/A0155609/A0155609OK_BIG_1.jpg,A0155609
Notebook Asus Vivobook 15 X1502ZA-EJ1547W (Quiet Blue),1,15990.0,https://img.advice.co.th/images_nas/pic_product4/A0156901/A0156901OK_BIG_1.jpg,A0156901
Notebook Acer Aspire 5 A515-58M-5262 (Steel Gray),1,19990.0,https://img.advice.co.th/images_nas/pic_product4/A0155878/A0155878OK_BIG_1.jpg,A0155878
Notebook Acer Swift Go SFG16-72-70FS (Steel Gray),1,42990.0,https://img.advice.co.th/images_nas/pic_product4/A0158885/A0158885OK_BIG_3.jpg,A0158885
Notebook Lenovo IdeaPad Slim 5 16IAH8 83BG000CTA (Cloud Grey),1,19890.0,https://img.advice.co.th/images_nas/pic_product4/A0151755/A0151755OK_BIG_1.jpg,A0151755
Notebook Lenovo IdeaPad Slim 3 15IAH8 83ER000JTA (Arctic Grey),1,18490.0,https://img.advice.co.th/images_nas/pic_product4/A0153502/A0153502OK_BIG_1.jpg,A0153502
Notebook Lenovo IdeaPad Slim 3 15IRH8 83EM0009TA (Arctic Grey),1,19190.0,https://img.advice.co.th/images_nas/pic_product4/A0153501/A0153501OK_BIG_1.jpg,A0153501
Notebook HP 15s-fq5335TU (Natural Silver),1,15890.0,https://img.advice.co.th/images_nas/pic_product4/A0157346/A0157346OK_BIG_2.jpg,A0157346
Notebook Lenovo IdeaPad Slim3 15IRH8 83EM006ETA (Abyss Blue),1,23290.0,https://img.advice.co.th/images_nas/pic_product4/A0157794/A0157794OK_BIG_1.jpg,A0157794
Notebook MSI Prestige 13Evo A13M-250TH (Stellar Gray),1,38990.0,https://img.advice.co.th/images_nas/pic_product4/A0156771/A0156771OK_BIG_1.jpg,A0156771
Notebook Asus Vivobook Pro 15 OLED N6506MV-MA964WS (Earl Grey),1,69990.0,https://img.advice.co.th/images_nas/pic_product4/A0157983/A0157983OK_BIG_1.jpg,A0157983
Notebook Asus Zenbook 14 OLED UX3405MA-PP989WS  (Ponder Blue),1,54990.0,https://img.advice.co.th/images_nas/pic_product4/A0157816/A0157816OK_BIG_3.jpg,A0157816
Notebook Asus Vivobook Go 15 M1504FA-NJ501WS (Indie Black),1,16490.0,https://img.advice.co.th/images_nas/pic_product4/A0151735/A0151735OK_BIG_1.jpg,A0151735
Notebook DELL Latitude 3440-SNS3440012 (Gray),1,21990.0,https://img.advice.co.th/images_nas/pic_product4/A0151907/A0151907OK_BIG_1.jpg,A0151907
Notebook Lenovo IdeaPad Slim 3 14IAH8 83EQ002YTA (Arctic Grey),1,17490.0,https://img.advice.co.th/images_nas/pic_product4/A0155331/A0155331OK_BIG_1.jpg,A0155331
Notebook HP 15s-fq5309TU (Natural Silver),1,12090.0,https://img.advice.co.th/images_nas/pic_product4/A0156738/A0156738OK_BIG_2.jpg,A0156738
Notebook Acer Aspire 5 A515-48M-R0UT (Steel Gray),1,18990.0,https://img.advice.co.th/images_nas/pic_product4/A0155251/A0155251OK_BIG_1.jpg,A0155251
Notebook Asus Vivobook 15 X1502ZA-EJ5200WS (Quiett Blue),1,16990.0,https://img.advice.co.th/images_nas/pic_product4/A0159065/A0159065OK_BIG_3.jpg,A0159065
Notebook Asus Zenbook 14 OLED UX3405MA-PP533WS (Foggy Silver),1,39490.0,https://img.advice.co.th/images_nas/pic_product4/A0158417/A0158417OK_BIG_3.jpg,A0158417
Notebook HP 15-fd0028TU (Natural Silver),1,14490.0,https://img.advice.co.th/images_nas/pic_product4/A0151909/A0151909OK_BIG_1.jpg,A0151909
