link,link_position
/poco-m6-5g-orion-blue-128-gb/p/itmfe2d9e94498f8?pid=MOBGW9FEVTYQKK6M&lid=LSTMOBGW9FEVTYQKK6MGKMRFM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_25&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGW9FEVTYQKK6M.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,1
/samsung-galaxy-f14-5g-omg-black-128-gb/p/itmae94033406fb2?pid=MOBGNBFNE6KGXCCR&lid=LSTMOBGNBFNE6KGXCCRXLTXS7&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_26&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGNBFNE6KGXCCR.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,2
/poco-c65-pastel-blue-128-gb/p/itm496cf027e5826?pid=MOBGVVTXTQDGZ7JY&lid=LSTMOBGVVTXTQDGZ7JYJ1XDW1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_27&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGVVTXTQDGZ7JY.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,3
/redmi-13c-starshine-green-128-gb/p/itmc4f0763fb3a50?pid=MOBGW4HKUXHFDYU2&lid=LSTMOBGW4HKUXHFDYU2WMFCCU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_28&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGW4HKUXHFDYU2.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,4
/samsung-galaxy-f14-5g-goat-green-128-gb/p/itm032d1a69999cc?pid=MOBGNBFNDPGNJ7HY&lid=LSTMOBGNBFNDPGNJ7HYRCCFUH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_29&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGNBFNDPGNJ7HY.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,5
/redmi-13c-stardust-black-128-gb/p/itm9b22752239e4d?pid=MOBGW4HKVU4ZGZFZ&lid=LSTMOBGW4HKVU4ZGZFZCHB6WV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_30&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGW4HKVU4ZGZFZ.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,6
/samsung-galaxy-f14-5g-b-a-e-purple-128-gb/p/itmdc1c60aa887ff?pid=MOBGNBFNNZER2WZW&lid=LSTMOBGNBFNNZER2WZWDG8CJ0&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_31&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGNBFNNZER2WZW.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,7
/redmi-13c-starfrost-white-128-gb/p/itm8e332b8346bef?pid=MOBGWUHSZKWBZQWJ&lid=LSTMOBGWUHSZKWBZQWJALOQ27&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_32&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGWUHSZKWBZQWJ.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,8
/poco-m6-5g-galactic-black-128-gb/p/itmb18dc9ee625cf?pid=MOBGW9FEZKAV8QCZ&lid=LSTMOBGW9FEZKAV8QCZRRZJWH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_33&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGW9FEZKAV8QCZ.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,9
/motorola-edge-50-fusion-forest-blue-256-gb/p/itm8a5b907bb2896?pid=MOBGXTYZZEW8GZE6&lid=LSTMOBGXTYZZEW8GZE6FYRQA2&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_34&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGXTYZZEW8GZE6.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,10
/motorola-g64-5g-pearl-blue-256-gb/p/itm1e0225e79669e?pid=MOBGY2JUZFHY6ZZP&lid=LSTMOBGY2JUZFHY6ZZPJ3GDTC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_35&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGY2JUZFHY6ZZP.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,11
/motorola-g64-5g-pearl-blue-128-gb/p/itm68710cef5104b?pid=MOBGY2JU53P3KMG9&lid=LSTMOBGY2JU53P3KMG9IXP4DQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_36&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGY2JU53P3KMG9.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,12
/motorola-g64-5g-ice-lilac-256-gb/p/itm1df450f035292?pid=MOBGY2JUGGJZJQNK&lid=LSTMOBGY2JUGGJZJQNKKF5P9H&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_37&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGY2JUGGJZJQNK.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,13
/poco-m6-5g-galactic-black-256-gb/p/itm1bc7cb01620e6?pid=MOBGW9FEQH3ESHCZ&lid=LSTMOBGW9FEQH3ESHCZIDEBTF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_38&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGW9FEQH3ESHCZ.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,14
/motorola-g04-satin-blue-128-gb/p/itm723b134b6121c?pid=MOBGUFK4DNFX5BFV&lid=LSTMOBGUFK4DNFX5BFVR3WXGI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_39&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGUFK4DNFX5BFV.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,15
/oneplus-nord-ce-3-lite-5g-chromatic-gray-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ45PS4AQ7BA&lid=LSTMOBGZJ45PS4AQ7BA87S5JR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_40&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGZJ45PS4AQ7BA.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,16
/poco-c65-pastel-green-128-gb/p/itm50cb31371238b?pid=MOBGXTV9GZHKA5KW&lid=LSTMOBGXTV9GZHKA5KWMKX3GG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_41&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGXTV9GZHKA5KW.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,17
/poco-c61-ethereal-blue-128-gb/p/itm57e6bcdef80d2?pid=MOBGZ8P7XJXTYD3P&lid=LSTMOBGZ8P7XJXTYD3PHQWIOQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_42&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGZ8P7XJXTYD3P.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,18
/poco-c65-matte-black-128-gb/p/itme8d1e736a1e3f?pid=MOBGVVTXBXRRZEUK&lid=LSTMOBGVVTXBXRRZEUKZU2IO7&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_43&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGVVTXBXRRZEUK.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,19
/motorola-edge-50-pro-5g-68w-charger-luxe-lavender-256-gb/p/itmba8105d0d22ad?pid=MOBGXFXYMTKAMPTS&lid=LSTMOBGXFXYMTKAMPTSJQVWQM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_44&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGXFXYMTKAMPTS.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,20
/poco-m6-5g-orion-blue-256-gb/p/itme5e4ce0f49daf?pid=MOBGW9FEH8ZHKNDY&lid=LSTMOBGW9FEH8ZHKNDYVSMGCF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_45&otracker=search&fm=organic&iid=38e5a8d1-ce3b-418f-a8b3-75aea17287b5.MOBGW9FEH8ZHKNDY.SEARCH&ppt=None&ppn=None&ssid=w6ugheys280000001716722857416&qH=eb4af0bf07c16429,21
