product_name,price,images
GKBOSS - White hand mixer 250 Hand Blender Electric Whisker,1799,"['https://n1.sdlcdn.com/imgs/k/l/l/130x152/GKBOSS-White-hand-mixer-250-SDL131528063-1-d7f36.jpg', 'https://n1.sdlcdn.com/imgs/k/l/l/130x152/GKBOSS-White-hand-mixer-250-SDL131528063-2-e36da.jpg', 'https://n3.sdlcdn.com/imgs/k/l/l/130x152/GKBOSS-White-hand-mixer-250-SDL131528063-3-93afa.jpg', 'https://n3.sdlcdn.com/imgs/k/l/l/130x152/GKBOSS-White-hand-mixer-250-SDL131528063-4-ed8a9.jpg', 'https://n1.sdlcdn.com/imgs/k/l/l/130x152/GKBOSS-White-hand-mixer-250-SDL131528063-5-77897.jpg', 'https://n2.sdlcdn.com/imgs/k/l/l/130x152/GKBOSS-White-hand-mixer-250-SDL131528063-6-61788.jpg', 'https://n3.sdlcdn.com/imgs/k/l/l/130x152/GKBOSS-White-hand-mixer-250-SDL131528063-7-8597e.jpg', 'https://n3.sdlcdn.com/imgs/k/l/l/130x152/GKBOSS-White-hand-mixer-250-SDL131528063-8-a0c1f.jpg']"
eBizMourGTPL - White 7 Speed Beater 260 Hand Blender Electric Whisker,1799,"['https://n3.sdlcdn.com/imgs/k/m/c/130x152/eBizMourGTPL-White-7-Speed-Beater-SDL641077721-1-b464c.jpg', 'https://n3.sdlcdn.com/imgs/k/m/c/130x152/eBizMourGTPL-White-7-Speed-Beater-SDL641077721-2-d7317.jpg', 'https://n2.sdlcdn.com/imgs/k/m/c/130x152/eBizMourGTPL-White-7-Speed-Beater-SDL641077721-3-70e6b.jpg', 'https://n2.sdlcdn.com/imgs/k/m/c/130x152/eBizMourGTPL-White-7-Speed-Beater-SDL641077721-4-0112e.jpg', 'https://n3.sdlcdn.com/imgs/k/m/c/130x152/eBizMourGTPL-White-7-Speed-Beater-SDL641077721-5-5f781.jpg']"
Scarlett HE-133 260 Watt Hand Blender,1799,"['https://n3.sdlcdn.com/imgs/k/c/q/130x152/Scarlett-HE-133-260-Watt-SDL874442594-1-0be99.jpg', 'https://n2.sdlcdn.com/imgs/k/c/q/130x152/Scarlett-HE-133-260-Watt-SDL874442594-2-e49d3.jpg', 'https://n3.sdlcdn.com/imgs/k/c/q/130x152/Scarlett-HE-133-260-Watt-SDL874442594-3-d4232.jpg', 'https://n4.sdlcdn.com/imgs/k/c/q/130x152/Scarlett-HE-133-260-Watt-SDL874442594-4-bf40f.jpeg', 'https://n3.sdlcdn.com/imgs/k/c/q/130x152/Scarlett-HE-133-260-Watt-SDL874442594-5-284c8.jpg', 'https://n3.sdlcdn.com/imgs/k/c/q/130x152/Scarlett-HE-133-260-Watt-SDL874442594-6-befa0.jpg', 'https://n3.sdlcdn.com/imgs/k/c/q/130x152/Scarlett-HE-133-260-Watt-SDL874442594-7-582f8.jpg', 'https://n4.sdlcdn.com/imgs/k/c/q/130x152/Scarlett-HE-133-260-Watt-SDL874442594-8-9d8d2.jpg', 'https://n4.sdlcdn.com/imgs/k/c/q/130x152/Scarlett-HE-133-260-Watt-SDL874442594-9-b64d5.jpeg']"
UJJi Black Coffee/Milk Mixer 100 Hand Blender Electric Whisker,999,"['https://n1.sdlcdn.com/imgs/k/t/k/130x152/UJJi-Black-Coffee-Milk-Mixer-SDL562219630-1-8c13e.jpg', 'https://n1.sdlcdn.com/imgs/k/t/k/130x152/UJJi-Black-Coffee-Milk-Mixer-SDL562219630-2-d0894.jpg', 'https://n4.sdlcdn.com/imgs/k/t/k/130x152/UJJi-Black-Coffee-Milk-Mixer-SDL562219630-3-9098c.jpg', 'https://n1.sdlcdn.com/imgs/k/t/k/130x152/UJJi-Black-Coffee-Milk-Mixer-SDL562219630-4-47edc.jpg', 'https://n3.sdlcdn.com/imgs/k/t/k/130x152/UJJi-Black-Coffee-Milk-Mixer-SDL562219630-5-aafa1.jpg']"
kk crosi - Black Coffee Beater 100 Hand Blender Electric Whisker,699,"['https://n3.sdlcdn.com/imgs/k/r/g/130x152/kk-crosi-Black-Coffee-Beater-SDL328081758-1-f8267.jpg', 'https://n1.sdlcdn.com/imgs/k/r/g/130x152/kk-crosi-Black-Coffee-Beater-SDL328081758-2-ecd22.jpg', 'https://n1.sdlcdn.com/imgs/k/r/g/130x152/kk-crosi-Black-Coffee-Beater-SDL328081758-3-aa6e0.jpg', 'https://n3.sdlcdn.com/imgs/k/r/g/130x152/kk-crosi-Black-Coffee-Beater-SDL328081758-4-bdb35.jpg', 'https://n1.sdlcdn.com/imgs/k/r/g/130x152/kk-crosi-Black-Coffee-Beater-SDL328081758-5-4f67f.jpg']"
Orpat - White Hand Mixer OHM-217 200 Hand Blender Without Chopper,1450,"['https://n3.sdlcdn.com/imgs/k/o/t/130x152/Orpat-White-Hand-Mixer-OHM-SDL480663051-1-a8f82.jpg', 'https://n4.sdlcdn.com/imgs/k/o/t/130x152/Orpat-White-Hand-Mixer-OHM-SDL480663051-2-6fe82.jpg', 'https://n4.sdlcdn.com/imgs/k/o/t/130x152/Orpat-White-Hand-Mixer-OHM-SDL480663051-3-6a12b.jpg']"
Orpat - Purple Blender HHB 157E WOB 250 Hand Blender Without Chopper,1175,"['https://n4.sdlcdn.com/imgs/k/o/t/130x152/Orpat-Purple-Blender-HHB-157E-SDL506926580-1-17584.jpg', 'https://n4.sdlcdn.com/imgs/k/o/t/130x152/Orpat-Purple-Blender-HHB-157E-SDL506926580-2-61920.jpg', 'https://n2.sdlcdn.com/imgs/k/o/t/130x152/Orpat-Purple-Blender-HHB-157E-SDL506926580-3-34d39.jpg']"
Orpat - Express Chopper Purple Electric Push Button Chopper 250W,1355,"['https://n1.sdlcdn.com/imgs/k/o/t/130x152/Orpat-Express-Chopper-Purple-Electric-SDL678155851-1-710de.jpg', 'https://n3.sdlcdn.com/imgs/k/o/t/130x152/Orpat-Express-Chopper-Purple-Electric-SDL678155851-2-48ca6.jpg', 'https://n3.sdlcdn.com/imgs/k/o/t/130x152/Orpat-Express-Chopper-Purple-Electric-SDL678155851-3-c100a.jpg']"
JMALL - USB Rechargeable Multicolor Electric Push Button Chopper 50W,1999,"['https://n2.sdlcdn.com/imgs/k/o/i/130x152/JMALL-USB-Rechargeable-Multicolor-Electric-SDL774708347-2-c4497.jpg', 'https://n1.sdlcdn.com/imgs/k/o/i/130x152/JMALL-USB-Rechargeable-Multicolor-Electric-SDL774708347-5-0a2cc.JPG', 'https://n2.sdlcdn.com/imgs/k/o/i/130x152/JMALL-USB-Rechargeable-Multicolor-Electric-SDL774708347-6-f4e35.jpg', 'https://n3.sdlcdn.com/imgs/k/o/i/130x152/JMALL-USB-Rechargeable-Multicolor-Electric-SDL774708347-4-821d1.JPG', 'https://n4.sdlcdn.com/imgs/k/o/i/130x152/JMALL-USB-Rechargeable-Multicolor-Electric-SDL774708347-7-05ff1.JPG', 'https://n3.sdlcdn.com/imgs/k/o/i/130x152/JMALL-USB-Rechargeable-Multicolor-Electric-SDL774708347-3-40a66.JPG', 'https://n3.sdlcdn.com/imgs/k/o/i/130x152/JMALL-USB-Rechargeable-Multicolor-Electric-SDL774708347-1-410a5.JPG', 'https://n3.sdlcdn.com/imgs/k/o/i/130x152/JMALL-USB-Rechargeable-Multicolor-Electric-SDL774708347-8-82e49.JPG']"
Mantra USB Chopper Mixer Purple Electric USB Portable Chopper 150W,2000,"['https://n3.sdlcdn.com/imgs/k/t/f/130x152/Mantra-USB-Chopper-Mixer-Purple-SDL930289639-1-f4ced.jpg', 'https://n4.sdlcdn.com/imgs/k/t/f/130x152/Mantra-USB-Chopper-Mixer-Purple-SDL930289639-2-00b33.jpg', 'https://n2.sdlcdn.com/imgs/k/t/f/130x152/Mantra-USB-Chopper-Mixer-Purple-SDL930289639-3-b0f81.jpg', 'https://n4.sdlcdn.com/imgs/k/t/f/130x152/Mantra-USB-Chopper-Mixer-Purple-SDL930289639-4-fd8d6.jpg']"
