product_name,price,images
Frontline Silver 1.8 litres Stainless Steel Multifunctional Kettle,1999,"['https://n3.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-1-8-litres-SDL763462149-1-c09b7.jpg', 'https://n3.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-1-8-litres-SDL763462149-2-9feea.jpg', 'https://n4.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-1-8-litres-SDL763462149-3-f56c2.jpg', 'https://n4.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-1-8-litres-SDL763462149-4-d58bb.jpg', 'https://n1.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-1-8-litres-SDL763462149-5-d98bf.jpg', 'https://n3.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-1-8-litres-SDL763462149-6-e5b71.jpg', 'https://n4.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-1-8-litres-SDL763462149-7-06471.jpg', 'https://n3.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-1-8-litres-SDL763462149-8-113a8.jpg']"
Scarlett SC-20 Electric Kettle,1499,"['https://n2.sdlcdn.com/imgs/b/v/w/130x152/Scarlett-SC-20-Electric-Kettle-SDL450600580-1-72cfc.jpg', 'https://n2.sdlcdn.com/imgs/b/v/w/130x152/Scarlett-SC-20-Electric-Kettle-SDL450600580-2-0cea5.jpg']"
pablos Silver 2 litres Stainless Steel Water and Tea & Soups,1999,"['https://n2.sdlcdn.com/imgs/k/s/d/130x152/pablos-Silver-2-litres-Stainless-SDL951250558-1-cd24f.jpg', 'https://n4.sdlcdn.com/imgs/k/s/d/130x152/pablos-Silver-2-litres-Stainless-SDL951250558-2-dcbeb.jpg', 'https://n1.sdlcdn.com/imgs/k/s/d/130x152/pablos-Silver-2-litres-Stainless-SDL951250558-3-e89ae.jpg', 'https://n2.sdlcdn.com/imgs/k/s/d/130x152/pablos-Silver-2-litres-Stainless-SDL951250558-4-6e7a7.jpg', 'https://n1.sdlcdn.com/imgs/k/s/d/130x152/pablos-Silver-2-litres-Stainless-SDL951250558-5-4f5a6.jpg', 'https://n3.sdlcdn.com/imgs/k/s/d/130x152/pablos-Silver-2-litres-Stainless-SDL951250558-6-9cc3c.jpg', 'https://n1.sdlcdn.com/imgs/k/s/d/130x152/pablos-Silver-2-litres-Stainless-SDL951250558-7-b837d.jpg', 'https://n2.sdlcdn.com/imgs/k/s/d/130x152/pablos-Silver-2-litres-Stainless-SDL951250558-8-b357c.jpg']"
Frontline Silver 2 litres Stainless Steel Water and Tea & Soups,1999,"['https://n2.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-2-litres-Stainless-SDL988229067-1-d18fa.jpg', 'https://n3.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-2-litres-Stainless-SDL988229067-2-37fc5.jpg', 'https://n2.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-2-litres-Stainless-SDL988229067-3-780e4.jpg', 'https://n4.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-2-litres-Stainless-SDL988229067-4-b117b.jpg', 'https://n4.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-2-litres-Stainless-SDL988229067-5-4528c.jpg', 'https://n1.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-2-litres-Stainless-SDL988229067-6-189e1.jpg', 'https://n2.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-2-litres-Stainless-SDL988229067-7-3f980.jpg', 'https://n3.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-2-litres-Stainless-SDL988229067-8-74a1c.jpg']"
Milton Green 1.5 litres Stainless Steel Multifunctional Kettle,2245,"['https://n2.sdlcdn.com/imgs/k/o/m/130x152/Milton-Green-1-5-litres-SDL051167360-1-eb9de.jpg', 'https://n3.sdlcdn.com/imgs/k/o/m/130x152/Milton-Green-1-5-litres-SDL051167360-2-e0244.jpg', 'https://n4.sdlcdn.com/imgs/k/o/m/130x152/Milton-Green-1-5-litres-SDL051167360-3-ef96a.jpg', 'https://n2.sdlcdn.com/imgs/k/o/m/130x152/Milton-Green-1-5-litres-SDL051167360-4-f7634.jpg', 'https://n4.sdlcdn.com/imgs/k/o/m/130x152/Milton-Green-1-5-litres-SDL051167360-5-b58c3.jpg', 'https://n1.sdlcdn.com/imgs/k/o/m/130x152/Milton-Green-1-5-litres-SDL051167360-6-6e998.jpg', 'https://n3.sdlcdn.com/imgs/k/o/m/130x152/Milton-Green-1-5-litres-SDL051167360-7-63c48.jpg']"
"Milton Go Electro 1.2 Stainless Steel Electric Kettle, 1 Piece, 1200 ml, Silver | Power Indicator | 1500 Watts | Auto Cut-off | Detachable 360 Degree Connector | Boiler for Water",1199,"['https://n4.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-2-SDL716842990-1-a0ad7.jpg', 'https://n2.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-2-SDL716842990-2-24206.jpg', 'https://n4.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-2-SDL716842990-3-0f696.jpg', 'https://n3.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-2-SDL716842990-4-26b34.jpg', 'https://n1.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-2-SDL716842990-5-e1b0b.jpg', 'https://n1.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-2-SDL716842990-6-c2a70.jpg', 'https://n2.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-2-SDL716842990-7-a8df0.jpg', 'https://n3.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-2-SDL716842990-8-befd4.jpg', 'https://n1.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-2-SDL716842990-9-c34dd.jpg', 'https://n4.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-2-SDL716842990-10-a51c7.jpg']"
"Milton Go Electro 1.5 Stainless Steel Electric Kettle, 1 Piece, 1500 ml, Silver | Power Indicator | 1500 Watts | Auto Cut-off | Detachable 360 Degree Connector | Boiler for Water",1399,"['https://n4.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-5-SDL733464882-1-f8f81.jpg', 'https://n4.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-5-SDL733464882-2-43edd.jpg', 'https://n1.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-5-SDL733464882-3-4fa74.jpg', 'https://n4.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-5-SDL733464882-4-a68a8.jpg', 'https://n3.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-5-SDL733464882-5-b48db.jpg', 'https://n2.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-5-SDL733464882-6-c798c.jpg', 'https://n1.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-5-SDL733464882-7-6f749.jpg', 'https://n3.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-5-SDL733464882-8-2a440.jpg', 'https://n2.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-5-SDL733464882-9-70831.jpg', 'https://n1.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-1-5-SDL733464882-10-28536.jpg']"
"Milton Go Electro 2.0 Stainless Steel Electric Kettle, 1 Piece, 2000 ml, Silver | Power Indicator | 1500 Watts | Auto Cut-off | Detachable 360 Degree Connector | Boiler for Water",1599,"['https://n2.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-2-0-SDL664381205-1-63c14.jpg', 'https://n1.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-2-0-SDL664381205-2-91d27.jpg', 'https://n4.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-2-0-SDL664381205-3-4badf.jpg', 'https://n4.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-2-0-SDL664381205-4-027a2.jpg', 'https://n2.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-2-0-SDL664381205-5-a3bb5.jpg', 'https://n1.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-2-0-SDL664381205-6-9fa0e.jpg', 'https://n3.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-2-0-SDL664381205-7-d38bc.jpg', 'https://n2.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-2-0-SDL664381205-8-2970d.jpg', 'https://n3.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-2-0-SDL664381205-9-815b6.jpg', 'https://n1.sdlcdn.com/imgs/k/c/q/130x152/Milton-Go-Electro-2-0-SDL664381205-10-ef55c.jpg']"
Frontline Silver 2 litres Stainless Steel Water and Tea & Soups,1999,"['https://n1.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-2-litres-Stainless-SDL556954508-1-0b9f0.jpg', 'https://n4.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-2-litres-Stainless-SDL556954508-2-d94ac.jpg', 'https://n4.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-2-litres-Stainless-SDL556954508-3-32c0b.jpg', 'https://n4.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-2-litres-Stainless-SDL556954508-4-65710.jpg', 'https://n1.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-2-litres-Stainless-SDL556954508-5-6fe3c.jpg', 'https://n4.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-2-litres-Stainless-SDL556954508-6-51720.jpg', 'https://n2.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-2-litres-Stainless-SDL556954508-7-eab2b.jpg', 'https://n1.sdlcdn.com/imgs/k/s/d/130x152/Frontline-Silver-2-litres-Stainless-SDL556954508-8-7d9ce.jpg']"
Scarlett - Silver 2 litres Stainless Steel Water and Tea & Soups,1999,"['https://n3.sdlcdn.com/imgs/k/k/i/130x152/Scarlett-Silver-2-litres-Stainless-SDL771946634-1-3c102.jpg', 'https://n1.sdlcdn.com/imgs/k/k/i/130x152/Scarlett-Silver-2-litres-Stainless-SDL771946634-2-d8976.jpg', 'https://n1.sdlcdn.com/imgs/k/k/i/130x152/Scarlett-Silver-2-litres-Stainless-SDL771946634-3-aa861.jpg', 'https://n4.sdlcdn.com/imgs/k/k/i/130x152/Scarlett-Silver-2-litres-Stainless-SDL771946634-4-16e03.jpg']"
