product_name,price,images
"MYSTIQ QwikFire 1ft, 4inOne Lighter",750,"['https://n3.sdlcdn.com/imgs/j/x/y/130x152/MYSTIQ-QwikFire-1ft-4inOne-Lighter-SDL193088952-1-df2d1.png', 'https://n1.sdlcdn.com/imgs/j/x/y/130x152/MYSTIQ-QwikFire-1ft-4inOne-Lighter-SDL193088952-2-7dbd1.jpg', 'https://n3.sdlcdn.com/imgs/j/x/y/130x152/MYSTIQ-QwikFire-1ft-4inOne-Lighter-SDL193088952-3-67ecf.png', 'https://n1.sdlcdn.com/imgs/j/x/y/130x152/MYSTIQ-QwikFire-1ft-4inOne-Lighter-SDL193088952-4-0809e.jpg']"
"Suryaviva Nano 2B Ms Bk Toughened Glass 2 Cast Iron Burner Gas Stove(Manual Ignition,Black)",5890,"['https://n1.sdlcdn.com/imgs/k/n/j/130x152/SURYAVIVA-Mild-Steel-2-Burners-SDL425913947-1-6262d.jpg', 'https://n4.sdlcdn.com/imgs/k/n/j/130x152/SURYAVIVA-Mild-Steel-2-Burners-SDL425913947-2-23836.jpg', 'https://n1.sdlcdn.com/imgs/k/n/j/130x152/SURYAVIVA-Mild-Steel-2-Burners-SDL425913947-3-58c06.jpg', 'https://n1.sdlcdn.com/imgs/k/n/j/130x152/SURYAVIVA-Mild-Steel-2-Burners-SDL425913947-4-6a349.jpg']"
GKBOSS - Stainless Steel Hobtop,799,"['https://n3.sdlcdn.com/imgs/k/n/0/130x152/GKBOSS-Stainless-Steel-Hobtop-SDL990808390-1-d9d0b.png', 'https://n2.sdlcdn.com/imgs/k/n/0/130x152/GKBOSS-Stainless-Steel-Hobtop-SDL990808390-2-693f7.jpg']"
1B LEO,1895,"['https://n4.sdlcdn.com/imgs/k/u/4/130x152/1B-LEO-SDL162852485-1-ecff5.jpg', 'https://n3.sdlcdn.com/imgs/k/u/4/130x152/1B-LEO-SDL162852485-2-3711e.jpg', 'https://n2.sdlcdn.com/imgs/k/u/4/130x152/1B-LEO-SDL162852485-3-a668b.jpg']"
"Suryaviva Vs2 2B Ss Stainless Steel 2 Cast Iron Burner Gas Stove(Manual Ignition,Silver)",3690,"['https://n3.sdlcdn.com/imgs/k/n/j/130x152/SURYAVIVA-Stainless-Steel-2-Burners-SDL476817063-1-602bb.jpg', 'https://n2.sdlcdn.com/imgs/k/n/j/130x152/SURYAVIVA-Stainless-Steel-2-Burners-SDL476817063-2-8cb7f.jpg', 'https://n3.sdlcdn.com/imgs/k/n/j/130x152/SURYAVIVA-Stainless-Steel-2-Burners-SDL476817063-3-f6dbd.jpg', 'https://n2.sdlcdn.com/imgs/k/n/j/130x152/SURYAVIVA-Stainless-Steel-2-Burners-SDL476817063-4-c23b0.jpg', 'https://n2.sdlcdn.com/imgs/k/n/j/130x152/SURYAVIVA-Stainless-Steel-2-Burners-SDL476817063-5-9d32e.jpg']"
"Crystal Heavy Tornado Brass Burners, Warranty - 2 Year, ISI Certified, Fully Stainless Steel Manual Gas Stove  (3 Burners)",8490,"['https://n2.sdlcdn.com/imgs/k/v/v/130x152/Crystal-Heavy-Tornado-Brass-Burners-SDL232503657-1-0b453.jpg', 'https://n4.sdlcdn.com/imgs/k/v/v/130x152/Crystal-Heavy-Tornado-Brass-Burners-SDL232503657-2-e5555.jpg', 'https://n2.sdlcdn.com/imgs/k/v/v/130x152/Crystal-Heavy-Tornado-Brass-Burners-SDL232503657-3-f1e53.jpg']"
GKBOSS - Mild Steel Pan Support,799,"['https://n3.sdlcdn.com/imgs/k/n/z/130x152/GKBOSS-Mild-Steel-Pan-Support-SDL877513516-1-91234.png', 'https://n2.sdlcdn.com/imgs/k/n/z/130x152/GKBOSS-Mild-Steel-Pan-Support-SDL877513516-2-9b8db.jpg', 'https://n3.sdlcdn.com/imgs/k/n/z/130x152/GKBOSS-Mild-Steel-Pan-Support-SDL877513516-3-f85c9.jpg']"
OFFYX - Stainless Steel Lighter,449,['https://n4.sdlcdn.com/imgs/k/k/1/130x152/OFFYX-Stainless-Steel-Lighter-SDL045532408-1-e3a24.jpg']
OFFYX - Stainless Steel Lighter,599,"['https://n3.sdlcdn.com/imgs/k/k/1/130x152/OFFYX-Stainless-Steel-Lighter-SDL031823385-1-bc001.jpg', 'https://n1.sdlcdn.com/imgs/k/k/1/130x152/OFFYX-Stainless-Steel-Lighter-SDL031823385-2-5e137.jpg']"
Gas Stove,2599,"['https://n3.sdlcdn.com/imgs/k/n/z/130x152/Gas-Stove-SDL541915961-1-553cb.jpg', 'https://n3.sdlcdn.com/imgs/k/n/z/130x152/Gas-Stove-SDL541915961-2-db10f.jpg', 'https://n3.sdlcdn.com/imgs/k/n/z/130x152/Gas-Stove-SDL541915961-3-49d05.jpg', 'https://n3.sdlcdn.com/imgs/k/n/z/130x152/Gas-Stove-SDL541915961-4-c7935.jpg']"
