product_name,price,images
Blowhot A9 Induction 2000 Watt Induction Cooktop,2990,"['https://n3.sdlcdn.com/imgs/k/r/l/130x152/Blowhot-A9-Induction-2000-Watt-SDL196519296-1-9e03a.jpg', 'https://n3.sdlcdn.com/imgs/k/r/l/130x152/Blowhot-A9-Induction-2000-Watt-SDL196519296-2-d0af2.jpg', 'https://n2.sdlcdn.com/imgs/k/r/l/130x152/Blowhot-A9-Induction-2000-Watt-SDL196519296-3-07d35.jpg', 'https://n3.sdlcdn.com/imgs/k/r/l/130x152/Blowhot-A9-Induction-2000-Watt-SDL196519296-4-59fd5.jpg', 'https://n1.sdlcdn.com/imgs/k/r/l/130x152/Blowhot-A9-Induction-2000-Watt-SDL196519296-5-88d04.jpg']"
Blowhot BL - 1300 Induction 2000 Watt Induction Cooktop,3990,"['https://n4.sdlcdn.com/imgs/k/s/f/130x152/Blowhot-BL-1300-Induction-2000-SDL388207922-1-96fa9.jpg', 'https://n2.sdlcdn.com/imgs/k/s/f/130x152/Blowhot-BL-1300-Induction-2000-SDL388207922-2-6fc5b.jpg', 'https://n3.sdlcdn.com/imgs/k/s/f/130x152/Blowhot-BL-1300-Induction-2000-SDL388207922-3-1ef31.jpg', 'https://n4.sdlcdn.com/imgs/k/s/f/130x152/Blowhot-BL-1300-Induction-2000-SDL388207922-4-663ab.jpg', 'https://n1.sdlcdn.com/imgs/k/s/f/130x152/Blowhot-BL-1300-Induction-2000-SDL388207922-5-00b4f.jpg']"
Blowhot A9 - Induction 2000 Watt Induction Cooktop,2990,"['https://n1.sdlcdn.com/imgs/k/r/g/130x152/Blowhot-A9-Induction-2000-Watt-SDL465165634-1-665b0.jpg', 'https://n3.sdlcdn.com/imgs/k/r/g/130x152/Blowhot-A9-Induction-2000-Watt-SDL465165634-2-91adc.jpg', 'https://n2.sdlcdn.com/imgs/k/r/g/130x152/Blowhot-A9-Induction-2000-Watt-SDL465165634-3-45b5d.jpg', 'https://n2.sdlcdn.com/imgs/k/r/g/130x152/Blowhot-A9-Induction-2000-Watt-SDL465165634-4-a6ed3.jpg', 'https://n3.sdlcdn.com/imgs/k/r/g/130x152/Blowhot-A9-Induction-2000-Watt-SDL465165634-5-ff243.jpg']"
SURYAVIVA Touch Induction 2200 Watt Induction Cooktop,4990,"['https://n2.sdlcdn.com/imgs/k/s/f/130x152/SURYAVIVA-Touch-Induction-2200-Watt-SDL372908432-1-8a195.jpg', 'https://n2.sdlcdn.com/imgs/k/s/f/130x152/SURYAVIVA-Touch-Induction-2200-Watt-SDL372908432-2-ba2b0.jpg', 'https://n2.sdlcdn.com/imgs/k/s/f/130x152/SURYAVIVA-Touch-Induction-2200-Watt-SDL372908432-3-07bfe.jpg', 'https://n2.sdlcdn.com/imgs/k/s/f/130x152/SURYAVIVA-Touch-Induction-2200-Watt-SDL372908432-4-72262.jpg']"
Leben Tree M1 1C 2000 Watt Induction Cooktop,2499,"['https://n1.sdlcdn.com/imgs/k/u/s/130x152/Leben-Tree-M1-1C-2000-SDL058004131-1-bcb34.jpg', 'https://n3.sdlcdn.com/imgs/k/u/s/130x152/Leben-Tree-M1-1C-2000-SDL058004131-2-40c04.jpg', 'https://n4.sdlcdn.com/imgs/k/u/s/130x152/Leben-Tree-M1-1C-2000-SDL058004131-3-e2952.jpg', 'https://n4.sdlcdn.com/imgs/k/u/s/130x152/Leben-Tree-M1-1C-2000-SDL058004131-4-8f370.jpg', 'https://n1.sdlcdn.com/imgs/k/u/s/130x152/Leben-Tree-M1-1C-2000-SDL058004131-5-2fe05.jpg', 'https://n3.sdlcdn.com/imgs/k/u/s/130x152/Leben-Tree-M1-1C-2000-SDL058004131-6-a0b40.jpg']"
SURYAVIVA Touch Infra 2200 Watt Induction Cooktop,5990,"['https://n3.sdlcdn.com/imgs/k/s/f/130x152/SURYAVIVA-Touch-Infra-2200-Watt-SDL375956746-1-31b88.jpg', 'https://n4.sdlcdn.com/imgs/k/s/f/130x152/SURYAVIVA-Touch-Infra-2200-Watt-SDL375956746-2-db2b2.jpg', 'https://n3.sdlcdn.com/imgs/k/s/f/130x152/SURYAVIVA-Touch-Infra-2200-Watt-SDL375956746-3-192e1.jpg', 'https://n2.sdlcdn.com/imgs/k/s/f/130x152/SURYAVIVA-Touch-Infra-2200-Watt-SDL375956746-4-b267c.jpg', 'https://n1.sdlcdn.com/imgs/k/s/f/130x152/SURYAVIVA-Touch-Infra-2200-Watt-SDL375956746-5-3df56.jpg']"
KWW For All Utensils 2200 Watt Induction Cooktop,4900,"['https://n2.sdlcdn.com/imgs/k/v/c/130x152/KWW-For-All-Utensils-2200-SDL256649858-1-e0385.jpg', 'https://n4.sdlcdn.com/imgs/k/v/c/130x152/KWW-For-All-Utensils-2200-SDL256649858-2-3acc0.jpg', 'https://n4.sdlcdn.com/imgs/k/v/c/130x152/KWW-For-All-Utensils-2200-SDL256649858-3-6139d.jpg', 'https://n3.sdlcdn.com/imgs/k/v/c/130x152/KWW-For-All-Utensils-2200-SDL256649858-4-9c375.jpg', 'https://n3.sdlcdn.com/imgs/k/v/c/130x152/KWW-For-All-Utensils-2200-SDL256649858-5-d3aa5.jpg', 'https://n4.sdlcdn.com/imgs/k/v/c/130x152/KWW-For-All-Utensils-2200-SDL256649858-6-f37a5.jpg', 'https://n4.sdlcdn.com/imgs/k/v/c/130x152/KWW-For-All-Utensils-2200-SDL256649858-7-97278.jpg', 'https://n2.sdlcdn.com/imgs/k/u/w/130x152/KWW-For-All-Utensils-2200-SDL256649858-8-8bd89.jpg']"
SURYAVIVA Button Induction 2200 Watt Induction Cooktop,4990,"['https://n3.sdlcdn.com/imgs/k/s/f/130x152/SURYAVIVA-Button-Induction-2200-Watt-SDL376311965-1-19de6.jpg', 'https://n4.sdlcdn.com/imgs/k/s/f/130x152/SURYAVIVA-Button-Induction-2200-Watt-SDL376311965-2-0d65d.jpg', 'https://n1.sdlcdn.com/imgs/k/s/f/130x152/SURYAVIVA-Button-Induction-2200-Watt-SDL376311965-3-909d7.jpg', 'https://n4.sdlcdn.com/imgs/k/s/f/130x152/SURYAVIVA-Button-Induction-2200-Watt-SDL376311965-4-82f6c.jpg']"
Blowhot BL -600 2000 Watt Induction Cooktop,3990,"['https://n4.sdlcdn.com/imgs/k/s/f/130x152/Blowhot-BL-600-2000-Watt-SDL392260169-1-7ab2a.jpg', 'https://n2.sdlcdn.com/imgs/k/s/f/130x152/Blowhot-BL-600-2000-Watt-SDL392260169-2-83e71.jpg', 'https://n4.sdlcdn.com/imgs/k/s/f/130x152/Blowhot-BL-600-2000-Watt-SDL392260169-3-26d0e.jpg', 'https://n1.sdlcdn.com/imgs/k/s/f/130x152/Blowhot-BL-600-2000-Watt-SDL392260169-4-350cb.jpg', 'https://n1.sdlcdn.com/imgs/k/s/f/130x152/Blowhot-BL-600-2000-Watt-SDL392260169-5-6a25f.jpg']"
Blowhot BL -600 2000 Watt Induction Cooktop,3990,"['https://n1.sdlcdn.com/imgs/k/r/c/130x152/Blowhot-BL-600-2000-Watt-SDL545366559-1-f722e.jpg', 'https://n3.sdlcdn.com/imgs/k/r/c/130x152/Blowhot-BL-600-2000-Watt-SDL545366559-2-0e376.jpg', 'https://n3.sdlcdn.com/imgs/k/r/c/130x152/Blowhot-BL-600-2000-Watt-SDL545366559-3-7bde0.jpg', 'https://n4.sdlcdn.com/imgs/k/r/c/130x152/Blowhot-BL-600-2000-Watt-SDL545366559-4-23efb.jpg', 'https://n2.sdlcdn.com/imgs/k/r/c/130x152/Blowhot-BL-600-2000-Watt-SDL545366559-5-2aa6e.jpg', 'https://n1.sdlcdn.com/imgs/k/r/c/130x152/Blowhot-BL-600-2000-Watt-SDL545366559-6-64f5d.jpg']"
