product_name,price,images
BD MINI150W 150 Watt 1 Jar Juicer Mixer Grinder,1499,"['https://n1.sdlcdn.com/imgs/k/m/e/130x152/BD-MINI150W-150-Watt-1-SDL734896080-1-ca98c.png', 'https://n2.sdlcdn.com/imgs/k/m/e/130x152/BD-MINI150W-150-Watt-1-SDL734896080-2-08ff6.png']"
Athots Hardy Pro 750 Watts Mixer Grinder 4 Jars -White,3990,"['https://n2.sdlcdn.com/imgs/k/p/b/130x152/Athots-Hardy-More-than-500W-SDL225294320-1-ca4d3.jpg', 'https://n4.sdlcdn.com/imgs/k/p/b/130x152/Athots-Hardy-More-than-500W-SDL225294320-2-19a87.jpg', 'https://n1.sdlcdn.com/imgs/k/p/b/130x152/Athots-Hardy-More-than-500W-SDL225294320-3-cdbcb.jpg', 'https://n4.sdlcdn.com/imgs/k/p/b/130x152/Athots-Hardy-More-than-500W-SDL225294320-4-84d59.jpg']"
SURYAVIVA Master Mixer 500W 3 Jars Mixer Grinder,3999,"['https://n4.sdlcdn.com/imgs/k/v/c/130x152/SURYAVIVA-Master-Mixer-500W-3-SDL211447701-1-a1c02.jpg', 'https://n2.sdlcdn.com/imgs/k/v/c/130x152/SURYAVIVA-Master-Mixer-500W-3-SDL211447701-2-48c41.jpg', 'https://n3.sdlcdn.com/imgs/k/v/c/130x152/SURYAVIVA-Master-Mixer-500W-3-SDL211447701-3-b4e54.jpg', 'https://n3.sdlcdn.com/imgs/k/v/c/130x152/SURYAVIVA-Master-Mixer-500W-3-SDL211447701-4-2b995.jpg']"
SURYAVIVA Ronin Mixer Grinder 500W 3 Jars Mixer Grinder,3999,"['https://n1.sdlcdn.com/imgs/k/v/c/130x152/SURYAVIVA-Ronin-Mixer-Grinder-500W-SDL213319715-1-95edf.jpg', 'https://n3.sdlcdn.com/imgs/k/v/c/130x152/SURYAVIVA-Ronin-Mixer-Grinder-500W-SDL213319715-2-1bd4a.jpg', 'https://n2.sdlcdn.com/imgs/k/v/c/130x152/SURYAVIVA-Ronin-Mixer-Grinder-500W-SDL213319715-3-0b10a.jpg', 'https://n3.sdlcdn.com/imgs/k/v/c/130x152/SURYAVIVA-Ronin-Mixer-Grinder-500W-SDL213319715-4-35fe7.jpg']"
Wristkart Bottle Juicer Mixer 250 Watt 1 Jar Juicer Mixer Grinder,2000,"['https://n1.sdlcdn.com/imgs/k/s/f/130x152/Wristkart-Bottle-Juicer-Mixer-250-SDL176102977-1-288e1.jpg', 'https://n4.sdlcdn.com/imgs/k/s/f/130x152/Wristkart-Bottle-Juicer-Mixer-250-SDL176102977-2-2ab43.jpg', 'https://n1.sdlcdn.com/imgs/k/s/f/130x152/Wristkart-Bottle-Juicer-Mixer-250-SDL176102977-3-6887a.jpg', 'https://n2.sdlcdn.com/imgs/k/s/f/130x152/Wristkart-Bottle-Juicer-Mixer-250-SDL176102977-4-aec1d.jpg', 'https://n2.sdlcdn.com/imgs/k/s/f/130x152/Wristkart-Bottle-Juicer-Mixer-250-SDL176102977-5-90c0a.jpg', 'https://n1.sdlcdn.com/imgs/k/s/f/130x152/Wristkart-Bottle-Juicer-Mixer-250-SDL176102977-6-dc594.jpg']"
Orpat Orpat Mixer Grinder 600 Watt 2 Jar Juicer Mixer Grinder,2675,"['https://n1.sdlcdn.com/imgs/k/s/4/130x152/Orpat-Orpat-Mixer-Grinder-600-SDL356246232-1-3ee90.jpg', 'https://n3.sdlcdn.com/imgs/k/s/4/130x152/Orpat-Orpat-Mixer-Grinder-600-SDL356246232-2-b489f.jpg', 'https://n1.sdlcdn.com/imgs/k/s/4/130x152/Orpat-Orpat-Mixer-Grinder-600-SDL356246232-3-d5427.jpg']"
Wristkart Grain Mill Grinder 250 Watt 1 Jar Juicer Mixer Grinder,2000,"['https://n4.sdlcdn.com/imgs/k/s/f/130x152/Wristkart-Grain-Mill-Grinder-250-SDL172005983-1-e43a6.jpg', 'https://n2.sdlcdn.com/imgs/k/s/f/130x152/Wristkart-Grain-Mill-Grinder-250-SDL172005983-2-680c1.jpg', 'https://n1.sdlcdn.com/imgs/k/s/f/130x152/Wristkart-Grain-Mill-Grinder-250-SDL172005983-3-f7e06.jpg', 'https://n3.sdlcdn.com/imgs/k/s/f/130x152/Wristkart-Grain-Mill-Grinder-250-SDL172005983-4-fcef9.jpg', 'https://n1.sdlcdn.com/imgs/k/s/f/130x152/Wristkart-Grain-Mill-Grinder-250-SDL172005983-5-15e8c.jpg', 'https://n2.sdlcdn.com/imgs/k/s/f/130x152/Wristkart-Grain-Mill-Grinder-250-SDL172005983-6-3e33b.jpg']"
Orpat Kitchen Star 1200 Watt 3 Jar Juicer Mixer Grinder,3995,"['https://n2.sdlcdn.com/imgs/k/p/b/130x152/Orpat-Kitchen-Star-1200-Watt-SDL552038819-1-cb1f7.jpg', 'https://n4.sdlcdn.com/imgs/k/p/b/130x152/Orpat-Kitchen-Star-1200-Watt-SDL552038819-2-3dd72.jpg']"
"Wonderchef Nutri-blend GO, 400W 1 Jar Mixer Grinder",4000,"['https://n4.sdlcdn.com/imgs/k/t/c/130x152/Wonderchef-Nutri-blend-GO-400W-SDL909650424-1-64e76.jpg', 'https://n1.sdlcdn.com/imgs/k/t/c/130x152/Wonderchef-Nutri-blend-GO-400W-SDL909650424-2-328a0.jpg', 'https://n2.sdlcdn.com/imgs/k/t/c/130x152/Wonderchef-Nutri-blend-GO-400W-SDL909650424-3-57460.jpg', 'https://n1.sdlcdn.com/imgs/k/t/c/130x152/Wonderchef-Nutri-blend-GO-400W-SDL909650424-4-1b252.jpg', 'https://n2.sdlcdn.com/imgs/k/t/c/130x152/Wonderchef-Nutri-blend-GO-400W-SDL909650424-5-95608.jpg']"
Orpat Orpat Mixer Grinder 1200 Watt 3 Jar Juicer Mixer Grinder,3750,"['https://n3.sdlcdn.com/imgs/k/s/4/130x152/Orpat-Orpat-Mixer-Grinder-1200-SDL475249495-1-3cd10.jpg', 'https://n2.sdlcdn.com/imgs/k/s/4/130x152/Orpat-Orpat-Mixer-Grinder-1200-SDL475249495-2-377bf.jpg', 'https://n1.sdlcdn.com/imgs/k/s/4/130x152/Orpat-Orpat-Mixer-Grinder-1200-SDL475249495-3-b45aa.jpg', 'https://n4.sdlcdn.com/imgs/k/s/4/130x152/Orpat-Orpat-Mixer-Grinder-1200-SDL475249495-4-a62f6.jpg']"
