product_name,price,images
GREEN KIWWI GKMULTIKETTLE 1.2 Ltr Stainless Steel Cook & Carry Travel Cooker,3999,"['https://n2.sdlcdn.com/imgs/k/t/c/130x152/GREEN-KIWWI-GKMULTIKETTLE-1-2-SDL337841964-1-52876.jpg', 'https://n4.sdlcdn.com/imgs/k/t/c/130x152/GREEN-KIWWI-GKMULTIKETTLE-1-2-SDL337841964-2-d2ac5.jpg', 'https://n1.sdlcdn.com/imgs/k/t/c/130x152/GREEN-KIWWI-GKMULTIKETTLE-1-2-SDL337841964-3-395ac.jpg', 'https://n4.sdlcdn.com/imgs/k/t/c/130x152/GREEN-KIWWI-GKMULTIKETTLE-1-2-SDL337841964-4-8bd76.jpg', 'https://n2.sdlcdn.com/imgs/k/t/c/130x152/GREEN-KIWWI-GKMULTIKETTLE-1-2-SDL337841964-5-e4087.jpg', 'https://n3.sdlcdn.com/imgs/k/t/c/130x152/GREEN-KIWWI-GKMULTIKETTLE-1-2-SDL337841964-6-a6c6d.jpg']"
"DREAMSKART Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking Also Boiling and Frying, Multi Colour",1999,"['https://n1.sdlcdn.com/imgs/i/z/0/130x152/DREAMSKART-UNIQUE-1-Ltr-Egg-SDL407403603-2-569f0.jpeg', 'https://n2.sdlcdn.com/imgs/i/z/0/130x152/DREAMSKART-UNIQUE-1-Ltr-Egg-SDL407403603-6-afc07.jpeg', 'https://n3.sdlcdn.com/imgs/a/b/c/130x152/sdtv/SDL407403603_removeBg.jpg', 'https://n2.sdlcdn.com/imgs/i/r/z/130x152/DREAMSKART-UNIQUE-1-Ltr-Egg-SDL407403603-7-7095b.jpg', 'https://n2.sdlcdn.com/imgs/i/z/0/130x152/DREAMSKART-UNIQUE-1-Ltr-Egg-SDL407403603-5-90ff1.jpeg', 'https://n4.sdlcdn.com/imgs/i/z/0/130x152/DREAMSKART-UNIQUE-1-Ltr-Egg-SDL407403603-4-fb261.jpeg', 'https://n4.sdlcdn.com/imgs/i/z/0/130x152/DREAMSKART-UNIQUE-1-Ltr-Egg-SDL407403603-3-307ee.jpeg', 'https://n3.sdlcdn.com/imgs/i/z/0/130x152/DREAMSKART-UNIQUE-1-Ltr-Egg-SDL407403603-1-4f3ee.jpeg']"
Crypton Egg Boiler 1 Ltr Egg Boilers,1999,"['https://n2.sdlcdn.com/imgs/j/p/v/130x152/Crypton-Egg-Boiler-1-Ltr-SDL373095955-1-9e57a.jpeg', 'https://n2.sdlcdn.com/imgs/j/p/v/130x152/Crypton-Egg-Boiler-1-Ltr-SDL373095955-2-167b0.jpeg', 'https://n2.sdlcdn.com/imgs/j/p/v/130x152/Crypton-Egg-Boiler-1-Ltr-SDL373095955-3-99232.jpeg']"
"OMLITE Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking Also Boiling and Frying, Multi Colour",1999,"['https://n4.sdlcdn.com/imgs/j/s/0/130x152/350_watt_rapid_ultra_fast_professional_powerful_sleek_design_original_imafzhzr9hxyq8yx-cb9e6.jpeg', 'https://n1.sdlcdn.com/imgs/i/3/i/130x152/eggboiler3-8e13b.jpg', 'https://n3.sdlcdn.com/imgs/i/3/i/130x152/eggboiler2-c1c63.jpg', 'https://n1.sdlcdn.com/imgs/h/8/l/130x152/OMLITE-Az145-1-Ltr-Egg-SDL048418396-1-ae5c6.jpeg', 'https://n3.sdlcdn.com/imgs/a/b/c/130x152/sdtv/SDL048418396_removeBg.jpg']"
"HSR Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking Also Boiling and Frying, Multi Colour",999,"['https://n3.sdlcdn.com/imgs/i/i/t/130x152/HSR-GTB-7-Egg-Electric-SDL312939206-1-dbcf8.jpg', 'https://n3.sdlcdn.com/imgs/i/i/t/130x152/HSR-GTB-7-Egg-Electric-SDL312939206-2-c4e93.jpg', 'https://n2.sdlcdn.com/imgs/i/i/t/130x152/HSR-GTB-7-Egg-Electric-SDL312939206-3-e5a23.jpg', 'https://n3.sdlcdn.com/imgs/i/i/t/130x152/HSR-GTB-7-Egg-Electric-SDL312939206-4-d7e42.jpg', 'https://n3.sdlcdn.com/imgs/i/i/t/130x152/HSR-GTB-7-Egg-Electric-SDL312939206-5-7060b.jpg']"
MR 7 Eggs Cooker 0.5 Ltr Egg Boilers,1999,"['https://n4.sdlcdn.com/imgs/j/r/e/130x152/MR-7-Eggs-Cooker-0-SDL611630102-1-c06b2.jpeg', 'https://n4.sdlcdn.com/imgs/j/r/e/130x152/MR-7-Eggs-Cooker-0-SDL611630102-2-ff710.jpeg', 'https://n1.sdlcdn.com/imgs/j/r/e/130x152/MR-7-Eggs-Cooker-0-SDL611630102-3-9bcb0.jpeg', 'https://n1.sdlcdn.com/imgs/j/r/e/130x152/MR-7-Eggs-Cooker-0-SDL611630102-4-3fd8f.jpeg', 'https://n1.sdlcdn.com/imgs/j/r/e/130x152/MR-7-Eggs-Cooker-0-SDL611630102-5-6e1d8.jpeg', 'https://n1.sdlcdn.com/imgs/j/r/e/130x152/MR-7-Eggs-Cooker-0-SDL611630102-6-dfd98.jpeg', 'https://n1.sdlcdn.com/imgs/j/r/e/130x152/MR-7-Eggs-Cooker-0-SDL611630102-7-0a61d.jpeg', 'https://n3.sdlcdn.com/imgs/j/r/e/130x152/MR-7-Eggs-Cooker-0-SDL611630102-8-44a99.jpeg']"
"DREAMSKART Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking Also Boiling and Frying, Multi Colour",1999,"['https://n2.sdlcdn.com/imgs/j/n/w/130x152/DREAMSKART-na-1-Ltr-Egg-SDL605394336-1-f7b0a.jpeg', 'https://n3.sdlcdn.com/imgs/j/n/w/130x152/DREAMSKART-na-1-Ltr-Egg-SDL605394336-3-a939e.jpeg', 'https://n3.sdlcdn.com/imgs/j/n/w/130x152/DREAMSKART-na-1-Ltr-Egg-SDL605394336-4-d8f66.jpeg', 'https://n4.sdlcdn.com/imgs/j/n/w/130x152/DREAMSKART-na-1-Ltr-Egg-SDL605394336-2-1de96.jpeg']"
"Presto Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking Also Boiling and Frying, Multi Colour",999,"['https://n2.sdlcdn.com/imgs/j/s/0/130x152/350_watt_rapid_ultra_fast_professional_powerful_sleek_design_original_imafzhzr9hxyq8yx-6cbec.jpeg', 'https://n1.sdlcdn.com/imgs/j/s/0/130x152/yellow_7_eggs_stephy_original_imaf8cneheh2wd9n-14b19.jpeg', 'https://n1.sdlcdn.com/imgs/j/s/0/130x152/boiler_steamer_poacher_radhe_hub_original_imafytthctetgzma_1_-cd9cb.jpeg', 'https://n2.sdlcdn.com/imgs/f/r/9/130x152/presto-life-egg-boiler-steamer-SDL912864228-1-41e2f.jpeg']"
"Earmark Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking Also Boiling and Frying, Multi Colour",1999,"['https://n2.sdlcdn.com/imgs/j/p/h/130x152/Earmark-Best-Quality-1-Ltr-SDL662413339-5-7c79e.jpeg', 'https://n2.sdlcdn.com/imgs/j/p/h/130x152/Earmark-Best-Quality-1-Ltr-SDL662413339-8-d1302.jpeg', 'https://n2.sdlcdn.com/imgs/j/p/h/130x152/Earmark-Best-Quality-1-Ltr-SDL662413339-7-ccf45.jpeg', 'https://n1.sdlcdn.com/imgs/j/p/h/130x152/Earmark-Best-Quality-1-Ltr-SDL662413339-3-50dba.jpeg', 'https://n3.sdlcdn.com/imgs/j/p/h/130x152/Earmark-Best-Quality-1-Ltr-SDL662413339-4-971bd.jpeg', 'https://n1.sdlcdn.com/imgs/j/p/h/130x152/Earmark-Best-Quality-1-Ltr-SDL662413339-6-d5a74.jpeg', 'https://n1.sdlcdn.com/imgs/j/p/h/130x152/Earmark-Best-Quality-1-Ltr-SDL662413339-2-0f4a0.jpeg', 'https://n3.sdlcdn.com/imgs/j/p/h/130x152/Earmark-Best-Quality-1-Ltr-SDL662413339-1-52335.jpeg']"
"Egg Steamer and Poacher EGC 10 Egg Cooker  (Multicolor, 7 Eggs)",1999,"['https://n4.sdlcdn.com/imgs/i/c/c/130x152/EGG-BOILER-EGG-ELECTRIC-COOKER-SDL111704803-3-e72ea.jpeg', 'https://n3.sdlcdn.com/imgs/i/c/c/130x152/EGG-BOILER-EGG-ELECTRIC-COOKER-SDL111704803-5-32028.jpeg', 'https://n4.sdlcdn.com/imgs/i/c/c/130x152/EGG-BOILER-EGG-ELECTRIC-COOKER-SDL111704803-2-1d897.jpeg', 'https://n2.sdlcdn.com/imgs/i/c/c/130x152/EGG-BOILER-EGG-ELECTRIC-COOKER-SDL111704803-1-62dc3.jpeg', 'https://n3.sdlcdn.com/imgs/i/c/c/130x152/EGG-BOILER-EGG-ELECTRIC-COOKER-SDL111704803-4-fd78c.jpeg']"
