product_name,price,images
APEIRON Non-Electric 250 Watts Sandwich Toaster,899,"['https://n3.sdlcdn.com/imgs/k/k/8/130x152/APEIRON-Non-Electric-250-Watts-SDL302818258-1-23155.jpg', 'https://n1.sdlcdn.com/imgs/k/k/8/130x152/APEIRON-Non-Electric-250-Watts-SDL302818258-2-2e9e5.jpeg', 'https://n2.sdlcdn.com/imgs/k/k/8/130x152/APEIRON-Non-Electric-250-Watts-SDL302818258-3-438be.jpeg', 'https://n3.sdlcdn.com/imgs/k/k/8/130x152/APEIRON-Non-Electric-250-Watts-SDL302818258-4-b9df6.jpg']"
APEIRON Non Electric Grill 500 Watts Vertical Grill,799,"['https://n1.sdlcdn.com/imgs/j/t/2/130x152/APEIRON-Toaster-NON-ELECTRIC-500-SDL484077327-1-a1ec7.jpeg', 'https://n3.sdlcdn.com/imgs/j/t/2/130x152/APEIRON-Toaster-NON-ELECTRIC-500-SDL484077327-2-0d7a0.jpeg', 'https://n1.sdlcdn.com/imgs/j/t/2/130x152/APEIRON-Toaster-NON-ELECTRIC-500-SDL484077327-3-3d330.jpeg', 'https://n1.sdlcdn.com/imgs/j/t/2/130x152/APEIRON-Toaster-NON-ELECTRIC-500-SDL484077327-4-ce084.jpeg']"
"Milton Pro Cook Aluminium Sandwich Griller, 14 cm, Black | Non Stick | Sturdy Handle | Bakelite Handle | Gas Compatible | PFOA Free",475,"['https://n2.sdlcdn.com/imgs/k/n/t/130x152/Milton-CCKWCKN351ASSR0001-500-Watts-Vertical-SDL290654556-1-cf594.jpg', 'https://n4.sdlcdn.com/imgs/k/n/t/130x152/Milton-CCKWCKN351ASSR0001-500-Watts-Vertical-SDL290654556-2-dbc78.jpg', 'https://n2.sdlcdn.com/imgs/k/n/t/130x152/Milton-CCKWCKN351ASSR0001-500-Watts-Vertical-SDL290654556-3-6653e.jpg', 'https://n4.sdlcdn.com/imgs/k/n/t/130x152/Milton-CCKWCKN351ASSR0001-500-Watts-Vertical-SDL290654556-4-bded7.jpg', 'https://n4.sdlcdn.com/imgs/k/n/t/130x152/Milton-CCKWCKN351ASSR0001-500-Watts-Vertical-SDL290654556-5-4454b.jpg', 'https://n2.sdlcdn.com/imgs/k/n/t/130x152/Milton-CCKWCKN351ASSR0001-500-Watts-Vertical-SDL290654556-6-a5b15.jpg', 'https://n3.sdlcdn.com/imgs/k/n/t/130x152/Milton-CCKWCKN351ASSR0001-500-Watts-Vertical-SDL290654556-7-b1edd.jpg']"
"Milton Pro Cook Aluminium Sandwich Toaster, 14 cm, Black | Non Stick | Sturdy Handle | Bakelite Handle | Gas Compatible | PFOA Free",450,"['https://n4.sdlcdn.com/imgs/k/n/t/130x152/Milton-CCKWCKN350ASSR0001-500-Watts-Vertical-SDL279444482-1-8d473.jpg', 'https://n2.sdlcdn.com/imgs/k/n/t/130x152/Milton-CCKWCKN350ASSR0001-500-Watts-Vertical-SDL279444482-2-9305b.jpg', 'https://n1.sdlcdn.com/imgs/k/n/t/130x152/Milton-CCKWCKN350ASSR0001-500-Watts-Vertical-SDL279444482-3-2b034.jpg', 'https://n1.sdlcdn.com/imgs/k/n/t/130x152/Milton-CCKWCKN350ASSR0001-500-Watts-Vertical-SDL279444482-4-95709.jpg', 'https://n3.sdlcdn.com/imgs/k/n/t/130x152/Milton-CCKWCKN350ASSR0001-500-Watts-Vertical-SDL279444482-5-7cb90.jpg', 'https://n1.sdlcdn.com/imgs/k/n/t/130x152/Milton-CCKWCKN350ASSR0001-500-Watts-Vertical-SDL279444482-6-d45da.jpg']"
pablos PB 001 750 Watts Sandwich Griller,1999,"['https://n1.sdlcdn.com/imgs/k/u/o/130x152/pablos-PB-001-750-Watts-SDL711556856-1-30378.jpg', 'https://n4.sdlcdn.com/imgs/k/u/o/130x152/pablos-PB-001-750-Watts-SDL711556856-2-e0d4b.jpg', 'https://n1.sdlcdn.com/imgs/k/u/o/130x152/pablos-PB-001-750-Watts-SDL711556856-3-fd83f.jpg', 'https://n1.sdlcdn.com/imgs/k/u/o/130x152/pablos-PB-001-750-Watts-SDL711556856-4-56555.jpg', 'https://n4.sdlcdn.com/imgs/k/u/o/130x152/pablos-PB-001-750-Watts-SDL711556856-5-79b60.jpg', 'https://n1.sdlcdn.com/imgs/k/u/o/130x152/pablos-PB-001-750-Watts-SDL711556856-6-5e1b7.jpg']"
MINTON Toaster Grill 800 Watts Sandwich Griller,3000,"['https://n2.sdlcdn.com/imgs/k/t/i/130x152/MINTON-Toaster-Grill-800-Watts-SDL178763638-1-0054b.jpg', 'https://n1.sdlcdn.com/imgs/k/t/i/130x152/MINTON-Toaster-Grill-800-Watts-SDL178763638-2-a13c1.jpg', 'https://n1.sdlcdn.com/imgs/k/t/i/130x152/MINTON-Toaster-Grill-800-Watts-SDL178763638-3-f1340.jpg', 'https://n1.sdlcdn.com/imgs/k/t/i/130x152/MINTON-Toaster-Grill-800-Watts-SDL178763638-4-b7617.jpg']"
Saykhus Mini Waffle 500 Watts Electric Grill,999,"['https://n3.sdlcdn.com/imgs/k/v/r/130x152/Saykhus-Mini-Waffle-500-Watts-SDL958478622-1-1d02d.png', 'https://n4.sdlcdn.com/imgs/k/v/r/130x152/Saykhus-Mini-Waffle-500-Watts-SDL958478622-2-dcd20.png', 'https://n1.sdlcdn.com/imgs/k/v/r/130x152/Saykhus-Mini-Waffle-500-Watts-SDL958478622-3-47c90.png', 'https://n1.sdlcdn.com/imgs/k/v/r/130x152/Saykhus-Mini-Waffle-500-Watts-SDL958478622-4-a218f.png', 'https://n1.sdlcdn.com/imgs/k/v/r/130x152/Saykhus-Mini-Waffle-500-Watts-SDL958478622-5-9897b.png', 'https://n4.sdlcdn.com/imgs/k/v/r/130x152/Saykhus-Mini-Waffle-500-Watts-SDL958478622-6-3712f.png', 'https://n1.sdlcdn.com/imgs/k/v/r/130x152/Saykhus-Mini-Waffle-500-Watts-SDL958478622-7-ce66a.png', 'https://n3.sdlcdn.com/imgs/k/v/r/130x152/Saykhus-Mini-Waffle-500-Watts-SDL958478622-8-28839.png', 'https://n4.sdlcdn.com/imgs/k/v/r/130x152/Saykhus-Mini-Waffle-500-Watts-SDL958478622-9-69470.png']"
Frontline FV 001 750 Watts Sandwich Griller,1999,"['https://n4.sdlcdn.com/imgs/k/u/o/130x152/Frontline-FV-001-750-Watts-SDL600754584-1-4acd1.jpg', 'https://n3.sdlcdn.com/imgs/k/u/o/130x152/Frontline-FV-001-750-Watts-SDL600754584-2-52941.jpg', 'https://n1.sdlcdn.com/imgs/k/u/o/130x152/Frontline-FV-001-750-Watts-SDL600754584-3-9f7b6.jpg', 'https://n3.sdlcdn.com/imgs/k/u/o/130x152/Frontline-FV-001-750-Watts-SDL600754584-4-7e28c.jpg', 'https://n3.sdlcdn.com/imgs/k/u/o/130x152/Frontline-FV-001-750-Watts-SDL600754584-5-3aaa0.jpg', 'https://n4.sdlcdn.com/imgs/k/u/o/130x152/Frontline-FV-001-750-Watts-SDL600754584-6-358f4.jpg']"
APEIRON Toaster Non-Electric 250 Watts Sandwich Toaster,799,['https://n3.sdlcdn.com/imgs/j/t/t/130x152/APEIRON-Toaster-Non-Electric-250-SDL870050993-1-8c314.jpg']
Trust Sandwich Grill Toast 750 Watts Electric Grill,3000,"['https://n2.sdlcdn.com/imgs/k/t/d/130x152/Trust-Sandwich-Grill-Toast-750-SDL293988384-1-edc0a.jpg', 'https://n1.sdlcdn.com/imgs/k/t/d/130x152/Trust-Sandwich-Grill-Toast-750-SDL293988384-2-a1e95.jpg', 'https://n3.sdlcdn.com/imgs/k/t/d/130x152/Trust-Sandwich-Grill-Toast-750-SDL293988384-3-98c82.jpg', 'https://n2.sdlcdn.com/imgs/k/t/d/130x152/Trust-Sandwich-Grill-Toast-750-SDL293988384-4-7b519.jpg', 'https://n2.sdlcdn.com/imgs/k/t/d/130x152/Trust-Sandwich-Grill-Toast-750-SDL293988384-5-bcfd4.jpg']"
Mantra Sandwich Grill Toast 750 Watts Toaster & Griller,2500,"['https://n1.sdlcdn.com/imgs/k/t/d/130x152/Mantra-Sandwich-Grill-Toast-750-SDL293468324-1-85874.jpg', 'https://n2.sdlcdn.com/imgs/k/t/d/130x152/Mantra-Sandwich-Grill-Toast-750-SDL293468324-2-fbc8c.jpg', 'https://n2.sdlcdn.com/imgs/k/t/d/130x152/Mantra-Sandwich-Grill-Toast-750-SDL293468324-3-b7011.jpg', 'https://n1.sdlcdn.com/imgs/k/t/d/130x152/Mantra-Sandwich-Grill-Toast-750-SDL293468324-4-e1489.jpg', 'https://n4.sdlcdn.com/imgs/k/t/d/130x152/Mantra-Sandwich-Grill-Toast-750-SDL293468324-5-ab613.jpg']"
