product_name,price,images
Maximize 360 Degree Rotating ABS Silicone and Stainless Steel Sprinkler Faucet,599,"['https://n3.sdlcdn.com/imgs/j/m/p/130x152/Maximize-360-Degree-Rotating-ABS-SDL537132823-1-926d5.jpeg', 'https://n2.sdlcdn.com/imgs/j/m/p/130x152/Maximize-360-Degree-Rotating-ABS-SDL537132823-2-42d03.jpg', 'https://n4.sdlcdn.com/imgs/j/m/p/130x152/Maximize-360-Degree-Rotating-ABS-SDL537132823-3-7521e.jpg', 'https://n4.sdlcdn.com/imgs/j/m/p/130x152/Maximize-360-Degree-Rotating-ABS-SDL537132823-4-d7534.jpg']"
purple dust Water Dispenser Pump Compatible with Non Electric Water Purifiers,599,"['https://n2.sdlcdn.com/imgs/k/v/u/130x152/1-46c60.jpg', 'https://n3.sdlcdn.com/imgs/k/v/u/130x152/2-a7016.jpg', 'https://n1.sdlcdn.com/imgs/k/v/u/130x152/3-df6dd.jpg', 'https://n3.sdlcdn.com/imgs/k/v/u/130x152/4-63112.jpg', 'https://n4.sdlcdn.com/imgs/k/v/u/130x152/5-2197d.jpg', 'https://n3.sdlcdn.com/imgs/k/v/u/130x152/6-60955.jpg', 'https://n4.sdlcdn.com/imgs/k/v/u/130x152/7-182e3.jpg']"
Antiscalant Balls,400,['https://n2.sdlcdn.com/imgs/f/h/1/130x152/Flora-RO-Antiscalant-Balls-6Pcs-SDL905039786-1-16c49.jpg']
Kitchen tap extension (Pack of 1) with Tightening Clamp Assorted Colors,499,"['https://n4.sdlcdn.com/imgs/j/l/t/130x152/Plastic-Tap-Dispenser-Blue-colour-SDL882642595-1-3bb56.jpeg', 'https://n4.sdlcdn.com/imgs/j/q/a/130x152/Kitchen_tap_extension_Pack_of_SDL221532411_3_b4104-49e10.jpg', 'https://n3.sdlcdn.com/imgs/j/q/a/130x152/Kitchen_tap_extension_by_Trending_SDL221532411_2_e9a68-5d860.jpg', 'https://n2.sdlcdn.com/imgs/j/q/a/130x152/Kitchen_tap_extension_Pack_of_SDL221532411_1_9d323-4532e.jpg', 'https://n2.sdlcdn.com/imgs/j/q/a/130x152/Kitchen_tap_extension_by_Trending_SDL221532411_3_95f98-61b79.jpg', 'https://n2.sdlcdn.com/imgs/j/q/a/130x152/Kitchen_tap_extension_Pack_of_SDL221532411_5_160c2-ae31d.jpg', 'https://n1.sdlcdn.com/imgs/j/q/a/130x152/Kitchen_tap_extension_Pack_of_SDL221532411_4_20bc8-d6050.jpg']"
RO Service RO Dolphin/Despenser Tap RO Service Kit,400,['https://n3.sdlcdn.com/imgs/f/s/h/130x152/RO-Service-RO-Service-Kit-SDL962113062-1-73918.jpg']
GE Filtration TDS meter for RO water testing/Digital LCD Meter/For water testing measuring TDS PPM/Pen type with case/Water purifier testing,699,"['https://n1.sdlcdn.com/imgs/j/n/5/130x152/GE-Filtration-TDS-meter-for-SDL301364942-1-b17e1.jpeg', 'https://n4.sdlcdn.com/imgs/j/n/5/130x152/GE-Filtration-TDS-meter-for-SDL301364942-2-82c0e.jpeg', 'https://n3.sdlcdn.com/imgs/j/n/5/130x152/GE-Filtration-TDS-meter-for-SDL301364942-3-997d9.jpeg']"
GE Filtration Spun Filter Candle 10inch /Outer Filter/Sediment Filter/Compatible with all domestic water purifiers pack of 4,999,"['https://n1.sdlcdn.com/imgs/j/k/4/130x152/GE-Filtration-Spun-Filter-Candle-SDL815697453-1-d2d7a.jpeg', 'https://n3.sdlcdn.com/imgs/j/k/4/130x152/GE-Filtration-Spun-Filter-Candle-SDL815697453-2-cf2c1.jpeg', 'https://n1.sdlcdn.com/imgs/j/k/4/130x152/GE-Filtration-Spun-Filter-Candle-SDL815697453-3-88758.jpeg', 'https://n1.sdlcdn.com/imgs/j/k/4/130x152/GE-Filtration-Spun-Filter-Candle-SDL815697453-4-71425.jpeg', 'https://n4.sdlcdn.com/imgs/j/k/4/130x152/GE-Filtration-Spun-Filter-Candle-SDL815697453-5-74651.jpeg']"
PRAMUKH ENTERPRISE Automatic Water Dispenser Pump,999,"['https://n2.sdlcdn.com/imgs/j/d/3/130x152/PRAMUKH-ENTERPRISE-Automatic-Water-Dispenser-SDL880017195-1-7c761.jpg', 'https://n1.sdlcdn.com/imgs/j/d/3/130x152/PRAMUKH-ENTERPRISE-Automatic-Water-Dispenser-SDL880017195-2-c1075.jpg', 'https://n1.sdlcdn.com/imgs/j/d/3/130x152/PRAMUKH-ENTERPRISE-Automatic-Water-Dispenser-SDL880017195-3-c76c4.jpg', 'https://n2.sdlcdn.com/imgs/j/d/3/130x152/PRAMUKH-ENTERPRISE-Automatic-Water-Dispenser-SDL880017195-4-1f3d9.jpg', 'https://n1.sdlcdn.com/imgs/j/d/3/130x152/PRAMUKH-ENTERPRISE-Automatic-Water-Dispenser-SDL880017195-5-c822f.jpg', 'https://n4.sdlcdn.com/imgs/j/d/3/130x152/PRAMUKH-ENTERPRISE-Automatic-Water-Dispenser-SDL880017195-6-74abc.jpg']"
Digital TDS Meter for Water Purity Test,699,"['https://n3.sdlcdn.com/imgs/i/i/q/130x152/tds1-652a8.jpg', 'https://n3.sdlcdn.com/imgs/i/i/q/130x152/tds2-abfde.jpeg', 'https://n2.sdlcdn.com/imgs/h/y/w/130x152/Tds-TDS-Meter-SDL419451690-4-e499c.jpeg']"
Automatic Wireless Electric Rechargeable Drinking Water Dispenser Pump for 20 Liter Bottle Can with USB Charging Cable (Assorted Color),999,"['https://n4.sdlcdn.com/imgs/j/d/w/130x152/Evaahub-Electric-rechargable-LATEST-Automatic-SDL450280902-1-20b3c.jpg', 'https://n1.sdlcdn.com/imgs/j/f/b/130x152/Evaahub-Electric-rechargable-LATEST-Automatic-SDL450280902-2-bc2bd.jpg', 'https://n3.sdlcdn.com/imgs/j/f/b/130x152/Evaahub-Electric-rechargable-LATEST-Automatic-SDL450280902-3-e1c92.jpg', 'https://n2.sdlcdn.com/imgs/j/f/b/130x152/Evaahub-Electric-rechargable-LATEST-Automatic-SDL450280902-4-cc4ac.jpg', 'https://n4.sdlcdn.com/imgs/j/d/j/130x152/Evaahub-Electric-rechargable-LATEST-Automatic-SDL450280902-2-603d9.jpg', 'https://n4.sdlcdn.com/imgs/j/f/b/130x152/Evaahub-Electric-rechargable-LATEST-Automatic-SDL450280902-6-02b02.jpg', 'https://n1.sdlcdn.com/imgs/j/d/j/130x152/Evaahub-Electric-rechargable-LATEST-Automatic-SDL450280902-7-0989f.jpg']"
